項目,目的・注意事項,ディオクリニック,ウララクリニック,リエートクリニック,エミナルクリニック,湘南美容クリニック
クリニック名,正式名称を使用,ディオクリニック,ウララクリニック,リエートクリニック,エミナルクリニック,湘南美容クリニック
クリニックコード,英字3-5文字の略称,dio,urara,lieto,eminal,sbc
ランキング順位,トップページでの表示順位,1位,2位,3位,4位,5位
満足度評価,5段階評価（表示形式）,4.9/5.0,4.8/5.0,4.7/5.0,4.6/5.0,4.5/5.0
星の数,満足度の星表示,5つ星（満点）,4.5つ星,4.5つ星,4.5つ星,4.5つ星
プッシュメッセージ,ランキングカード内の訴求文,"【総合人気No.1】<br>2025年のイチ押し！<br>業界屈指のコスパ","次世代医療！<br>成功率94%の実績","厚労省承認マシン<br>科学的に脂肪を減らす","多店舗展開<br>エミナル","大手美容クリニック<br>メニュー豊富"
公式サイトURL,地域パラメータ付きURL,https://dioclinic.jp/?region_id=013,https://uraraclinic.jp/?region_id=013,https://lietoclinic.com/lpbot/lpbot07kana15?region_id=013,https://diet.eminal-clinic.jp/lp/m_bodymake/?region_id=013,https://www.s-b-c.net/slimming/?region_id=013
ランキングバナー画像,各順位のバッジ画像,/images/badges/rank-1.svg,/images/badges/rank-2.svg,/images/badges/rank-3.svg,/images/badges/rank-4.svg,/images/badges/rank-5.svg
ランキングカードロゴ,カード内のロゴ画像,/images/clinics/dio/dio-logo.webp,/images/clinics/urara/urara-logo.webp,/images/clinics/lieto/lieto-logo.webp,/images/clinics/eminal/eminal-logo.webp,/images/clinics/sbc/sbc-logo.webp
詳細セクション表示,詳細情報の有無,あり,あり,あり,なし,なし
詳細セクションタイトル,詳細セクションの見出し,99%が実感した医療痩せ！,リーズナブルな価格設定,最新技術で安心痩身,-,-
詳細セクションサブタイトル,詳細セクションの副題,我慢・失敗・リバウンド防止,学生に人気の医療痩身,個人に合わせたオーダーメイド施術,-,-
